,0
194,Ohio State
2244,George Mason
277,West Virginia
96,Kentucky
2752,Xavier
183,Syracuse
264,Washington
153,North Carolina
150,Duke
130,Michigan
12,Arizona
251,Texas
2132,Cincinnati
41,UConn
218,Temple
21,San Diego St
2305,Kansas
2439,UNLV
238,Vanderbilt
97,Louisville
46,Georgetown
2509,Purdue
245,Texas A&M
87,Notre Dame
221,Pitt
2086,Butler
2306,Kansas St
275,Wisconsin
2599,St John's
252,BYU
26,UCLA
57,Florida
269,Marquette
257,Richmond
2670,VCU
52,Florida St
2250,Gonzaga
66,Iowa State
2724,Wichita St
84,Indiana
239,Baylor
127,Michigan St
235,Memphis
167,New Mexico
93,Murray St
142,Missouri
156,Creighton
2608,Saint Mary's
38,Colorado
58,South Florida
152,NC State
36,Colorado St
197,Oklahoma St
139,Saint Louis
356,Illinois
2390,Miami
2483,Oregon
145,Ole Miss
135,Minnesota
25,California
258,Virginia
222,Villanova
201,Oklahoma
113,UMass
2617,SF Austin
2168,Dayton
24,Stanford
108,Harvard
2449,N Dakota St
2633,Tennessee
120,Maryland
8,Arkansas
2460,Northern Iowa
2507,Providence
254,Utah
2567,SMU
2294,Iowa
2603,Saint Joseph's
204,Oregon St
30,USC
2641,Texas Tech
2550,Seton Hall
43,Yale
2031,Little Rock
2579,South Carolina
77,Northwestern
227,Rhode Island
2393,MTSU
2440,Nevada
248,Houston
259,Virginia Tech
228,Clemson
2,Auburn
2628,TCU
2378,UMBC
2350,Loyola Chicago
344,Mississippi St
99,LSU
2084,Buffalo
328,Utah State
2747,Wofford
2335,Liberty
333,Alabama
164,Rutgers
68,Boise St
166,New Mexico St
161,Fair Dickinson
213,Penn State
2226,FAU
2636,UTSA
163,Princeton
282,Indiana St
61,Georgia
112358,Long Island
2261,Hampton
2473,Oakland
2083,Bucknell
2458,N Colorado
104,Boston U
2413,Morehead St
2612,Saint Peter's
2006,Akron
2427,UNC Asheville
295,Old Dominion
2057,Belmont
2540,Santa Barbara
98,Western KY
2571,S Dakota St
2329,Lehigh
299,Long Beach St
2166,Davidson
2450,Norfolk St
2572,Southern Miss
149,Montana
179,St Bonaventure
2352,Loyola MD
261,Vermont
195,Ohio
2174,Detroit Mercy
2448,NC A&T
2674,Valparaiso
399,UAlbany
2582,Southern
2325,La Salle
314,Iona
2466,N'Western St
526,FGCU
256,James Madison
279,Pacific
202,Tulsa
2711,W Michigan
2198,E Kentucky
324,Coastal Car
45,G Washington
48,Delaware
2428,NC Central
270,Milwaukee
2692,Weber St
158,Nebraska
309,Louisiana
44,American
13,Cal Poly
2363,Manhattan
2382,Mercer
9,Arizona St
111,Northeastern
2247,Georgia St
2640,Texas Southern
322,Lafayette
2751,Wyoming
300,UC Irvine
2523,Robert Morris
331,E Washington
5,UAB
2046,Austin Peay
62,Hawai'i
107,Holy Cross
350,UNC Wilmington
2739,Green Bay
2934,Bakersfield
236,Chattanooga
2619,Stony Brook
278,Fresno St
116,Mount St Marys
2193,ETSU
2653,Troy
155,North Dakota
302,UC Davis
55,J'Ville St
2737,Winthrop
2309,Kent State
94,N Kentucky
2750,Wright St
2430,UNC Greensboro
288,Lipscomb
2515,Radford
276,Marshall
2239,Fullerton
219,Penn
232,Charleston
2116,UCF
71,Bradley
2241,Gardner-Webb
2142,Colgate
2000,Abilene Chrstn
2181,Drake
2253,Grand Canyon
42,Hartford
249,North Texas
198,Oral Roberts
2182,Drexel
59,Georgia Tech
325,Cleveland St
147,Montana St
2539,San Francisco
2344,Longwood
357,Texas A&M-CC
231,Furman
338,Kennesaw St
47,Howard
265,Washington St
56,Stetson
2184,Duquesne
TBD,NA
2377,McNeese
2535,Samford
2755,Grambling
2681,Wagner
